experiment,ramp_spread,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_exp_unmet,eev_exp_unmet,unmet_gap,rp_fill_rate,eev_fill_rate,fill_rate_gap,rp_exp_inv,eev_exp_inv,inv_gap,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,fe2_gap,total_starts_gap,rp_outsource_fe,ev_outsource_fe,rp_outsource_be,ev_outsource_be,profit_gap,rp_total_starts,ev_total_starts,status_rp,status_eev
A_FE_only,0.250000,0.250000,0.200000,0.875000,0.800000,6379.345238,6274.833334,104.511904,1.638286,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,4.000000,10.000000,0.285714,3.714286,3.714286,Yes,Yes,Yes,Yes,104.511904,14.000000,10.285714,Optimal,Optimal
A_FE_only,0.260000,0.255000,0.200000,0.872500,0.800000,6379.204298,6273.573408,105.630890,1.655863,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,4.093960,10.000000,0.315186,3.778773,3.778773,Yes,Yes,Yes,Yes,105.630890,14.093960,10.315186,Optimal,Optimal
A_FE_only,0.270000,0.260000,0.200000,0.870000,0.800000,6379.061454,6272.306240,106.755214,1.673525,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,4.189189,10.000000,0.344828,3.844362,3.844362,Yes,Yes,Yes,Yes,106.755214,14.189189,10.344828,Optimal,Optimal
A_FE_only,0.280000,0.265000,0.200000,0.867500,0.800000,6378.916667,6271.031769,107.884898,1.691273,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,4.285714,10.000000,0.374640,3.911075,3.911075,Yes,Yes,Yes,Yes,107.884898,14.285714,10.374640,Optimal,Optimal
A_FE_only,0.290000,0.270000,0.200000,0.865000,0.800000,6378.769896,6269.749931,109.019964,1.709106,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,4.383562,10.000000,0.404624,3.978937,3.978937,Yes,Yes,Yes,Yes,109.019964,14.383562,10.404624,Optimal,Optimal
A_FE_only,0.300000,0.275000,0.200000,0.862500,0.800000,6378.621100,6268.460664,110.160436,1.727026,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,4.482759,10.000000,0.434783,4.047976,4.047976,Yes,Yes,Yes,Yes,110.160436,14.482759,10.434783,Optimal,Optimal
A_FE_only,0.310000,0.280000,0.200000,0.860000,0.800000,6378.470238,6267.163898,111.306340,1.745032,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,4.583333,10.000000,0.465116,4.118217,4.118217,Yes,Yes,Yes,Yes,111.306340,14.583333,10.465116,Optimal,Optimal
A_FE_only,0.320000,0.285000,0.200000,0.857500,0.800000,6378.317266,6265.859572,112.457694,1.763125,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,4.685315,10.000000,0.495627,4.189688,4.189688,Yes,Yes,Yes,Yes,112.457694,14.685315,10.495627,Optimal,Optimal
A_FE_only,0.330000,0.290000,0.200000,0.855000,0.800000,6378.162139,6261.817349,116.344790,1.824112,30.000000,30.230264,0.230264,96.000000,95.969298,0.030702,0.000000,0.000000,0.000000,10.000000,4.788732,10.000000,0.526316,4.262417,4.262417,Yes,Yes,Yes,Yes,116.344790,14.788732,10.526316,Optimal,Optimal
A_FE_only,0.340000,0.295000,0.200000,0.852500,0.800000,6378.004813,6257.295058,120.709755,1.892594,30.000000,30.500366,0.500366,96.000000,95.933284,0.066716,0.000000,0.000000,0.000000,10.000000,4.893617,10.000000,0.557185,4.336432,4.336432,Yes,Yes,Yes,Yes,120.709755,14.893617,10.557185,Optimal,Optimal
