scenario,fe_spread,v_d,rp_obj,eev_obj,vss,pct_vss,rp_unmet,eev_unmet,unmet_gap,rp_inv,eev_inv,rp_fe1,rp_fe2,ev_fe1,ev_fe2,rp_total,ev_total
S2: Baseline ($3),0.12,3,6379.4843108,6276.954763590001,102.52954720999878,1.6071761009964987,30.0,30.0,0.0,0.0,0.0,10.0,3.9072848,10.0,0.28571429,13.9072848,10.28571429
S2: Baseline ($3),0.13,3,6379.204298449999,6273.5734079625,105.63089048749953,1.65586310683239,30.0,30.0,0.0,0.0,0.0,10.0,4.0939597,10.0,0.31518625,14.0939597,10.31518625
S2: Baseline ($3),0.14,3,6378.91666655,6271.031768538751,107.88489801124888,1.6912730429130658,30.0,30.0,0.0,0.0,0.0,10.0,4.2857143,10.0,0.37463977,14.2857143,10.37463977
S2: Baseline ($3),0.15000000000000002,3,6378.6211001,6268.460663778749,110.16043632125093,1.7270258664450833,30.0,30.0,0.0,0.0,0.0,10.0,4.4827586,10.0,0.43478261,14.4827586,10.43478261
S2: Baseline ($3),0.16,3,6378.31726595,6265.85957215125,112.45769379874946,1.7631248040779262,30.0,30.0,0.0,0.0,0.0,10.0,4.6853147,10.0,0.49562682,14.6853147,10.49562682
S2: Baseline ($3),0.17,3,6378.0048125,6257.295057599999,120.70975490000092,1.892594290042344,30.0,30.50036625,0.500366249999999,0.0,0.0,10.0,4.893617,10.0,0.55718475,14.893616999999999,10.55718475
S2: Baseline ($3),0.18000000000000002,3,6377.68336745,6248.170408923751,129.51295852624935,2.0307210481355824,30.0,31.04535375,1.0453537500000003,0.0,0.0,10.0,5.1079137,10.0,0.61946903,15.107913700000001,10.61946903
S2: Baseline ($3),0.19,3,6377.3525371999995,6238.9374577362505,138.41507946374895,2.1704159940406966,30.0,31.59681,1.5968100000000014,0.0,0.0,10.0,5.3284672,10.0,0.68249258,15.3284672,10.68249258
S2: Baseline ($3),0.2,3,6377.0119046,6229.594254860001,147.41764973999943,2.3117041640405445,30.0,32.15485125,2.15485125,0.0,0.0,10.0,5.5555556,10.0,0.74626866,15.5555556,10.74626866
S2: Baseline ($3),0.21000000000000002,3,6376.66102745,6220.138831022501,156.52219642749878,2.4546105830889893,30.0,32.719595,2.719594999999998,0.0,0.0,10.0,5.7894737,10.0,0.81081081,15.7894737,10.81081081
