label,fe_yield_lo,fe_yield_hi,be_yield_lo,be_yield_hi,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,rp_total_starts,ev_total_starts,rp_outsource_fe,rp_outsource_be,ev_outsource_fe,ev_outsource_be,rp_exp_unmet,eev_exp_unmet,rp_exp_inv,eev_exp_inv,status_rp,status_eev
FEsp0.20_BEsp0.30,0.7750,0.9750,0.6500,0.9500,0.2000,0.3000,0.8750,0.8000,6241.0251,6144.6133,96.4118,1.5448,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,41.2500,41.2500,0.0000,0.0000,Optimal,Optimal
FEsp0.20_BEsp0.40,0.7750,0.9750,0.6000,1.0000,0.2000,0.4000,0.8750,0.8000,6099.6774,6000.2679,99.4096,1.6298,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,52.5000,52.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.25_BEsp0.04,0.7500,1.0000,0.7800,0.8200,0.2500,0.0400,0.8750,0.8000,6563.8593,6445.6807,118.1786,1.8004,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.25_BEsp0.08,0.7500,1.0000,0.7600,0.8400,0.2500,0.0800,0.8750,0.8000,6545.3647,6430.1325,115.2321,1.7605,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,16.5000,16.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.25_BEsp0.15,0.7500,1.0000,0.7250,0.8750,0.2500,0.1500,0.8750,0.8000,6448.7014,6343.7817,104.9196,1.6270,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,24.3750,24.3750,0.0000,0.0000,Optimal,Optimal
FEsp0.25_BEsp0.20,0.7500,1.0000,0.7000,0.9000,0.2500,0.2000,0.8750,0.8000,6379.3452,6274.8333,104.5119,1.6383,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.25_BEsp0.25,0.7500,1.0000,0.6750,0.9250,0.2500,0.2500,0.8750,0.8000,6310.1244,6205.0681,105.0563,1.6649,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,35.6250,35.6250,0.0000,0.0000,Optimal,Optimal
FEsp0.25_BEsp0.30,0.7500,1.0000,0.6500,0.9500,0.2500,0.3000,0.8750,0.8000,6240.3477,6134.0061,106.3416,1.7041,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,41.2500,41.2500,0.0000,0.0000,Optimal,Optimal
FEsp0.25_BEsp0.40,0.7500,1.0000,0.6000,1.0000,0.2500,0.4000,0.8750,0.8000,6099.0000,5989.6607,109.3393,1.7927,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,52.5000,52.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.30_BEsp0.04,0.7250,1.0000,0.7800,0.8200,0.2750,0.0400,0.8625,0.8000,6563.1351,6445.4571,117.6780,1.7930,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.30_BEsp0.08,0.7250,1.0000,0.7600,0.8400,0.2750,0.0800,0.8625,0.8000,6544.6405,6429.7808,114.8597,1.7550,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,16.5000,16.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.30_BEsp0.15,0.7250,1.0000,0.7250,0.8750,0.2750,0.1500,0.8625,0.8000,6447.9772,6337.5614,110.4158,1.7124,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,24.3750,24.3750,0.0000,0.0000,Optimal,Optimal
FEsp0.30_BEsp0.20,0.7250,1.0000,0.7000,0.9000,0.2750,0.2000,0.8625,0.8000,6378.6211,6268.4607,110.1604,1.7270,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.30_BEsp0.25,0.7250,1.0000,0.6750,0.9250,0.2750,0.2500,0.8625,0.8000,6309.4003,6198.6954,110.7049,1.7546,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,35.6250,35.6250,0.0000,0.0000,Optimal,Optimal
FEsp0.30_BEsp0.30,0.7250,1.0000,0.6500,0.9500,0.2750,0.3000,0.8625,0.8000,6239.6235,6127.6334,111.9901,1.7948,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,41.2500,41.2500,0.0000,0.0000,Optimal,Optimal
FEsp0.30_BEsp0.40,0.7250,1.0000,0.6000,1.0000,0.2750,0.4000,0.8625,0.8000,6098.2759,5983.2880,114.9878,1.8856,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,52.5000,52.5000,0.0000,0.0000,Optimal,Optimal
